colocação,título_brasileiro,título_original,distribuidora,renda,publico,salas_abertura,estreia
65,O apocalipse,Left Behind,Imagem,"6.914.420,00",636718,233,2014-10-23
66,A lenda de Oz 3D,Legends of Oz: Dorothy s Return,Paris,"6.741.770,00",541258,423,2014-09-10
67,O doador de memórias,The Giver,Paris,"6.681.330,00",575194,341,2014-11-09
68,Caçadores de obras-primas,The Monuments Men,Fox,"6.645.020,00",519039,246,2014-02-14
69,Se eu ficar,If I Stay,Warner,"6.462.790,00",577354,226,2014-04-09
70,Getúlio,Getúlio,Europa/Copacabana,"6.357.230,00",507424,177,2014-01-05
71,Mulheres ao ataque,The Other Woman,Fox,"6.072.010,00",513368,277,2014-08-05
72,O juiz,The Judge,Warner,"5.887.940,00",428492,172,2014-10-16
73,Vizinhos,Neighbors,Universal,"5.819.300,00",482193,198,2014-06-19
74,Os Cavaleiros do Zodíaco - A lenda do santuário,Saint Seya : Legend of Sanctuary,Diamond Films,"5.734.790,00",513416,367,2014-11-09
75,Tinkerbell - Fadas e piratas,Tinkerbell - The Pirate Fairy,Disney,"5.571.500,00",433144,207,2014-07-03
76,No olho do tornado,Into the Storm,Warner,"5.348.520,00",459493,300,2014-08-28
77,A Bela e a Fera,The Beauty and the Beast,California,"5.345.960,00",512529,327,2014-09-25
78,O grande Hotel Budapeste,The Grand Budapest Hotel,Fox,"5.331.230,00",335341,62,2014-03-07
79,Anjos da lei 2,22 Jump Street,Sony,"5.235.530,00",465121,233,2014-04-09
80,Ouija - O jogo dos espíritos,Ouija,H2O Films,"4.629.250,00",383520,172,2014-11-12
81,Relatos Selvagens,Relatos Salvajes,Warner,"4.597.740,00",308629,86,2014-10-23
82,A vida secreta de Walter Mitty,The Secret Life of Walter Mitty,Fox,"4.311.340,00",339707,433,2013-12-20
83,Sex Tape: perdido na nuvem,Sex Tape,Sony,"4.287.180,00",342625,232,2014-08-21
84,Caçada mortal,A Walk Among the Tombstones,Disney,"4.281.690,00",367752,321,2014-04-12
85,Operação sombra: Jack Ryan,Jack Ryan,Paramount,"4.202.160,00",328282,252,2014-07-02
86,Made in China,Made in China,H2O Films,"4.192.273,00",391581,348,2014-06-11
87,A mansão mágica,The House of Magic,Imagem,"3.946.440,00",299275,384,2014-06-11
88,De volta ao jogo,John Wick,Imagem,"3.921.710,00",317395,230,2014-11-27
89,Os Boxtrolls,The Boxtrolls,Universal,"3.847.750,00",308804,338,2014-02-10
